plate	row	column	cell.count
Plate_1	1	1	165
Plate_1	1	2	235
Plate_1	1	3	105
Plate_1	1	4	142
Plate_1	1	5	108
Plate_1	1	6	169
Plate_1	1	7	273
Plate_1	1	8	199
Plate_1	1	9	217
Plate_1	1	10	268
Plate_1	1	11	272
Plate_1	1	12	248
Plate_1	1	13	89
Plate_1	1	14	286
Plate_1	1	15	262
Plate_1	1	16	204
Plate_1	1	17	318
Plate_1	1	18	306
Plate_1	1	19	241
Plate_1	1	20	223
Plate_1	1	21	301
Plate_1	1	22	271
Plate_1	1	23	316
Plate_1	1	24	278
Plate_1	1	25	277
Plate_1	1	26	140
Plate_1	1	27	253
Plate_1	1	28	228
Plate_1	1	29	168
Plate_1	1	30	278
Plate_1	1	31	274
Plate_1	1	32	329
Plate_1	1	33	309
Plate_1	1	34	377
Plate_1	1	35	278
Plate_1	1	36	288
Plate_1	1	37	126
Plate_1	1	38	257
Plate_1	1	39	301
Plate_1	1	40	242
Plate_1	1	41	270
Plate_1	1	42	321
Plate_1	1	43	337
Plate_1	1	44	240
Plate_1	1	45	266
Plate_1	1	46	341
Plate_1	1	47	294
Plate_1	1	48	157
Plate_1	2	1	169
Plate_1	2	2	218
Plate_1	2	3	155
Plate_1	2	4	133
Plate_1	2	5	236
Plate_1	2	6	287
Plate_1	2	7	208
Plate_1	2	8	291
Plate_1	2	9	285
Plate_1	2	10	352
Plate_1	2	11	345
Plate_1	2	12	355
Plate_1	2	13	361
Plate_1	2	14	327
Plate_1	2	15	354
Plate_1	2	16	314
Plate_1	2	17	372
Plate_1	2	18	383
Plate_1	2	19	425
Plate_1	2	20	343
Plate_1	2	21	322
Plate_1	2	22	375
Plate_1	2	23	369
Plate_1	2	24	343
Plate_1	2	25	327
Plate_1	2	26	360
Plate_1	2	27	363
Plate_1	2	28	322
Plate_1	2	29	245
Plate_1	2	30	384
Plate_1	2	31	310
Plate_1	2	32	267
Plate_1	2	33	320
Plate_1	2	34	279
Plate_1	2	35	332
Plate_1	2	36	393
Plate_1	2	37	367
Plate_1	2	38	269
Plate_1	2	39	304
Plate_1	2	40	360
Plate_1	2	41	347
Plate_1	2	42	368
Plate_1	2	43	341
Plate_1	2	44	277
Plate_1	2	45	361
Plate_1	2	46	303
Plate_1	2	47	363
Plate_1	2	48	332
Plate_1	3	1	267
Plate_1	3	2	273
Plate_1	3	3	242
Plate_1	3	4	244
Plate_1	3	5	295
Plate_1	3	6	331
Plate_1	3	7	329
